node1,node2,energy,entanglement,error
0,32,0.0,0.00010708256660229605,0.0
1,33,0.0,0.0002060835969121181,0.0
2,32,0.0,0.0002976006098183919,0.0
3,36,0.0,0.00011581716413250104,0.0
4,34,0.0,0.00021592794970403493,0.0
5,37,0.0,0.00018976959015547907,0.0
6,36,0.0,0.00030073231756720843,0.0
7,40,0.0,0.00019626675928467597,0.0
8,33,0.0,0.00020625022133189246,0.0
9,35,0.0,0.0003033866271418939,0.0
10,34,0.0,0.0002643626555422386,0.0
11,37,0.0,0.0002845579691353712,0.0
12,35,0.0,0.0001292052431750044,0.0
13,41,0.0,0.00030083829395282253,0.0
14,40,0.0,0.00023873888070451269,0.0
15,41,0.0,0.00016264092428011108,0.0
16,38,0.0,0.00011577979780279853,0.0
17,39,0.0,0.00019175311996809502,0.0
18,38,0.0,0.0002999712717436753,0.0
19,44,0.0,0.00014752463712540442,0.0
20,42,0.0,0.0001752441690916598,0.0
21,45,0.0,0.00013431408845208782,0.0
22,44,0.0,0.00030185424639349437,0.0
23,46,0.0,0.00020539389385826757,0.0
24,39,0.0,0.00020424169647345473,0.0
25,43,0.0,0.00030022256912280287,0.0
26,42,0.0,0.00020014553452776755,0.0
27,45,0.0,0.0001682507676656456,0.0
28,43,0.0,0.0001573188076752876,0.0
29,47,0.0,0.0002975755230421881,0.0
30,46,0.0,0.0002050896545255578,0.0
31,47,0.0,0.00010708218361220174,0.0
32,48,-79.7715634029905,0.00020676477073198424,-4.218847493575595e-15
33,48,-79.77156340299047,0.0004077712222223501,-5.10702591327572e-15
34,49,-79.77163166300646,0.00047707493326168757,-9.547918011776346e-15
35,49,-79.7716316630068,0.0002335391821200127,-6.439293542825908e-15
36,50,-79.77145569522726,0.0002180584906349204,-5.995204332975845e-15
37,50,-79.77145569522709,0.00046996292226125536,-6.8833827526759706e-15
38,51,-79.77114915236874,0.00021725430128833578,-1.176836406102666e-14
39,51,-79.77114915236858,0.0003910929673278322,-6.661338147750939e-15
40,52,-79.77168492993984,0.0004306459374895598,-1.5543122344752192e-15
41,52,-79.77168492994018,0.00027041926699386965,-6.661338147750939e-15
42,53,-79.77137787164577,0.00037065978249723987,-7.771561172376096e-15
43,53,-79.77137787164564,0.0002640675402484634,-4.218847493575595e-15
44,54,-79.77165415021402,0.00025258192878954954,-6.661338147750939e-16
45,54,-79.77165415021419,0.000295338645257217,-3.3306690738754696e-15
46,55,-79.77155993058281,0.00040590286724276635,-5.551115123125783e-15
47,55,-79.77155993058301,0.00020673905738976224,-6.661338147750939e-15
48,56,-79.77171218892894,0.00021849513756849986,-1.3322676295501878e-14
50,57,-79.7717585811251,0.00032524381847285667,8.817391261572993e-13
49,56,-79.77171982865515,0.0004468311390070834,7.248868172382572e-12
51,58,-79.77157296288405,0.00032662761854966045,8.851808175336373e-13
52,57,-79.77177460917024,0.00037557888569547134,1.2967404927621828e-12
54,59,-79.77190285681274,0.0005073688481894291,1.3660628184197776e-11
53,58,-79.77159318593417,0.00038544659108675236,1.2924106229661447e-12
55,59,-79.77184408728506,0.00021773183541586217,-1.4210854715202004e-14
56,60,-79.77196020677533,0.00029508307213820065,-3.708144902248023e-14
57,60,-79.7720355129785,0.00038736916677225343,2.8873903268333834e-11
58,61,-79.7719242741333,0.00033870015679988405,1.529987248005682e-11
59,61,-79.77191373230674,0.00031941604008672993,-2.220446049250313e-14
60,61,-79.77214360290975,0.0004074019785960859,2.616662442278539e-11
