node1,node2,energy,entanglement,error
0,32,0.0,0.00010708216847470317,0.0
1,33,0.0,0.00020448523154896576,0.0
2,32,0.0,0.0002975741548943382,0.0
3,36,0.0,0.00013826753199470588,0.0
4,34,0.0,0.00021731229404883015,0.0
5,37,0.0,0.00019046073958306682,0.0
6,36,0.0,0.00029947458819765913,0.0
7,40,0.0,0.00017274950480189054,0.0
8,33,0.0,0.00020557293255456325,0.0
9,35,0.0,0.0003045030319946384,0.0
10,34,0.0,0.0002501776583474299,0.0
11,37,0.0,0.00012617267639395606,0.0
12,35,0.0,0.00026131384254889767,0.0
13,41,0.0,0.00030125744178959886,0.0
14,40,0.0,0.00027483281086854497,0.0
15,41,0.0,0.00019890110453757017,0.0
16,38,0.0,0.00013789493858432558,0.0
17,39,0.0,0.0002553779356775516,0.0
18,38,0.0,0.00030081345629821463,0.0
19,44,0.0,0.0001374272888481594,0.0
20,42,0.0,0.00024973509889017205,0.0
21,45,0.0,0.0002154414447577256,0.0
22,44,0.0,0.0003034324987989713,0.0
23,46,0.0,0.0002060032723442578,0.0
24,39,0.0,0.00020448786796539346,0.0
25,43,0.0,0.0003012817361326806,0.0
26,42,0.0,0.0001990808263601452,0.0
27,45,0.0,0.0002616838132789703,0.0
28,43,0.0,0.00019891495793094113,0.0
29,47,0.0,0.0002976022457401263,0.0
30,46,0.0,0.00020609729849620941,0.0
31,47,0.0,0.00010708259988704523,0.0
32,48,-79.77152061197603,0.00020673764918705548,-3.9968028886505635e-15
33,48,-79.77152061197633,0.0004054557267379316,-2.886579864025407e-15
34,49,-79.77199782470076,0.00046409283813096436,-1.354472090042691e-14
35,49,-79.77199782470086,0.0003748751183302827,-1.199040866595169e-14
36,50,-79.77149934559962,0.0002424170679412402,-1.1324274851176597e-14
37,50,-79.77149934559988,0.00031005074675112456,-7.993605777301127e-15
38,51,-79.7715701771987,0.00024337764014152307,-7.327471962526033e-15
39,51,-79.77157017719897,0.0004556998811712061,-8.215650382226158e-15
40,52,-79.7716277959431,0.00044379066855198813,-1.2212453270876722e-14
41,52,-79.7716277959432,0.000309420712705262,-1.1324274851176597e-14
42,53,-79.77170368524514,0.0004445573229271245,-1.176836406102666e-14
43,53,-79.77170368524496,0.0003094598358160045,-8.215650382226158e-15
44,54,-79.77148425686988,0.00024305405693444404,-1.4432899320127035e-14
45,54,-79.77148425687032,0.00047302494005973004,-1.176836406102666e-14
46,55,-79.77144986420484,0.00040752091758594427,-3.3306690738754696e-15
47,55,-79.771449864205,0.00020676643891059452,-4.884981308350689e-15
48,56,-79.77204856784256,0.00021774535773435699,-3.2862601528904634e-14
50,57,-79.77196637643387,0.0003527002553848722,-6.816769371198461e-14
49,56,-79.77208908647576,0.0005774088637134548,-2.7533531010703882e-14
51,58,-79.77184412351117,0.0003515298377578055,-5.595524044110789e-14
52,57,-79.77197742181482,0.0004188442088370364,-4.951594689828198e-14
54,59,-79.77160785542104,0.0004489165715575601,-3.930189507173054e-14
53,58,-79.77183411923829,0.0004184858175144091,-5.81756864903582e-14
55,59,-79.7716081994924,0.0002184537055390798,-3.2862601528904634e-14
56,60,-79.77237328602375,0.00040719401297975826,-8.548717289613705e-14
57,60,-79.77233626969655,0.0004313226077541018,-9.214851104388799e-14
58,61,-79.77200233362889,0.0003645257110930797,-8.837375276016246e-14
59,61,-79.77199826312516,0.0003243924524054028,-9.192646643896296e-14
60,61,-79.77238724573506,0.00040844718446094125,-9.725553695716371e-14
