node1,node2,energy,entanglement,error
0,32,0.0,0.008821946525554243,0.0
1,33,0.0,0.018782420805865636,0.0
2,32,0.0,0.025390060996740498,0.0
3,36,0.0,0.015247516250400096,0.0
4,34,0.0,0.019650406912598027,0.0
5,37,0.0,0.017970717845830226,0.0
6,36,0.0,0.030469916068814232,0.0
7,40,0.0,0.01762101983628532,0.0
8,33,0.0,0.0165639038588793,0.0
9,35,0.0,0.031704623680334845,0.0
10,34,0.0,0.017183261135306806,0.0
11,37,0.0,0.029252497287442444,0.0
12,35,0.0,0.0131580982869398,0.0
13,41,0.0,0.028815103153685,0.0
14,40,0.0,0.0131893818964694,0.0
15,41,0.0,0.016860773684742505,0.0
16,38,0.0,0.014454374829441341,0.0
17,39,0.0,0.01660758721706027,0.0
18,38,0.0,0.02884293379185742,0.0
19,44,0.0,0.021517778585741935,0.0
20,42,0.0,0.021794822401806174,0.0
21,45,0.0,0.02429788943566118,0.0
22,44,0.0,0.034743428671361064,0.0
23,46,0.0,0.01834857023706164,0.0
24,39,0.0,0.015410583672609352,0.0
25,43,0.0,0.02966775290999565,0.0
26,42,0.0,0.017658097850918,0.0
27,45,0.0,0.022241830616349736,0.0
28,43,0.0,0.01704771470563633,0.0
29,47,0.0,0.025366921868630873,0.0
30,46,0.0,0.016709294162173732,0.0
31,47,0.0,0.008816963390769185,0.0
32,48,-53.060935514762555,0.01917925514826827,-1.1102230246251565e-15
33,48,-53.060935514762384,0.0343074426738806,-1.1102230246251565e-15
34,49,-53.06066256396482,0.03580871470201248,5.551115123125783e-16
35,49,-53.06066256396471,0.02381388217674544,-2.220446049250313e-15
36,50,-53.05846203092414,0.027989445769011773,-4.884981308350689e-15
37,50,-53.05846203092409,0.04618610909791898,-4.440892098500626e-16
38,51,-53.03544367338749,0.025728956296527834,1.5543122344752192e-15
39,51,-53.03544367338732,0.030390660719711915,1.7763568394002505e-15
40,52,-53.07098094667841,0.0295074286613714,-1.5543122344752192e-15
41,52,-53.07098094667809,0.02844669244420045,1.5543122344752192e-15
42,53,-53.02576235032462,0.03825723563544373,3.219646771412954e-15
43,53,-53.02576235032457,0.029279243805805415,7.771561172376096e-16
44,54,-53.03337089584782,0.03384600746507153,-1.1102230246251565e-15
45,54,-53.03337089584773,0.04462221228026977,-1.3322676295501878e-15
46,55,-52.98352699177424,0.03391250995823798,-1.9984014443252818e-15
47,55,-52.98352699177418,0.019158828471127022,-4.440892098500626e-16
48,56,-53.07112211373799,0.02162012409407034,1.1563371371536846e-09
50,57,-53.10195085571673,0.03867222529249189,1.7714645358379855e-06
49,56,-53.071973271356484,0.03370217585653745,1.0559653785824352e-06
51,58,-53.06001538384943,0.03842617093766144,1.8354409306864383e-06
52,57,-53.103548643463725,0.04203218417928135,2.2207902226067944e-06
54,59,-53.05262991930298,0.04746589435212281,5.291242920812955e-06
53,58,-53.06004467781117,0.0334498613876544,1.8718687097019071e-06
55,59,-53.04702006589253,0.021217389213116732,1.19920817720498e-09
56,60,-53.108741038256916,0.03723452178318614,8.71711913763562e-09
57,60,-53.11496281752545,0.04513045751972485,1.1848040323170217e-05
58,61,-53.10391614347871,0.04492078105134033,1.2440820046477619e-05
59,61,-53.09371988450259,0.03853833434739933,1.1000518163051254e-08
60,61,-53.09218201947141,0.040566952672782215,6.122221497983915e-06
