sweep,max_energy_reldiff,max_ee_diff,converged_this_sweep,ref_edge,ref_energy,ref_energy_reldiff,ref_truncation_error,ref_lanczos_residual,ref_lanczos_retried,num_lanczos_retries
3,0.0009708441204978602,0.1565123439214998,False,44,-330.10443540664386,4.531858444067893e-08,-2.7822188997106423e-13,2.825016471178741e-08,False,0
4,6.97002075988884e-05,0.7057203926343448,False,44,-330.10445035284806,4.5277198879034586e-08,-1.6830981053317373e-13,3.177818022859176e-08,False,0
