node1,node2,energy,entanglement,error
0,32,0.0,0.00019272569561322428,0.0
1,33,0.0,0.00037225923685449674,0.0
2,32,0.0,0.0005352491930411788,0.0
3,36,0.0,0.00020202941465073473,0.0
4,34,0.0,0.0005323897463604521,0.0
5,37,0.0,0.0003600953893619248,0.0
6,36,0.0,0.000540613615291718,0.0
7,40,0.0,0.0003531209144430234,0.0
8,33,0.0,0.00037072091063945767,0.0
9,35,0.0,0.000551520005915504,0.0
10,34,0.0,0.00027899556301676747,0.0
11,37,0.0,0.0003130247176101389,0.0
12,35,0.0,0.0004323965644772788,0.0
13,41,0.0,0.0005407078155722363,0.0
14,40,0.0,0.00032259212526040845,0.0
15,41,0.0,0.00020169960813953825,0.0
16,38,0.0,0.00020202176704123287,0.0
17,39,0.0,0.00024385070930873023,0.0
18,38,0.0,0.0005396479979396295,0.0
19,44,0.0,0.00025064754266466326,0.0
20,42,0.0,0.000368302119265752,0.0
21,45,0.0,0.0003099430120478144,0.0
22,44,0.0,0.000546811701287781,0.0
23,46,0.0,0.00037061065257485055,0.0
24,39,0.0,0.0003582699345863323,0.0
25,43,0.0,0.0005410655156276594,0.0
26,42,0.0,0.00034584893263431813,0.0
27,45,0.0,0.0003003952092712063,0.0
28,43,0.0,0.00020224004018571222,0.0
29,47,0.0,0.0005352186687026783,0.0
30,46,0.0,0.0003706124054651284,0.0
31,47,0.0,0.00019272506659465452,0.0
32,48,-74.52945457016659,0.00037365304627680904,-1.5543122344752192e-15
33,48,-74.52945457016655,0.0007341429630489217,-7.327471962526033e-15
34,49,-74.52947039728832,0.0008024075006146147,-1.0880185641326534e-14
35,49,-74.52947039728821,0.0006371222787838292,-1.9539925233402755e-14
36,50,-74.52952428653136,0.0003835082917495038,-1.176836406102666e-14
37,50,-74.52952428653148,0.000662745066954738,-1.509903313490213e-14
38,51,-74.52903676453741,0.0003825327585570103,-1.6431300764452317e-14
39,51,-74.52903676453751,0.0005902087782425758,-1.4654943925052066e-14
40,52,-74.52955844788974,0.0006658811466610102,-1.2878587085651816e-14
41,52,-74.52955844788968,0.0003836517485799536,-7.549516567451064e-15
42,53,-74.52903160077467,0.0007046675101081042,-1.021405182655144e-14
43,53,-74.5290316007748,0.00038473636232445304,-1.554312234475219e-14
44,54,-74.52912239247117,0.00044018279772716753,-9.769962616701378e-15
45,54,-74.5291223924705,0.0005868564354420708,-1.0658141036401503e-14
46,55,-74.5290195859955,0.0007323310912845172,1.3322676295501878e-15
47,55,-74.52901958599614,0.000373621812837684,-7.993605777301127e-15
48,56,-74.52966717915326,0.00039616509427281094,-3.441691376337985e-14
50,57,-74.52977212277229,0.0005832594272685435,-5.972999872483342e-14
49,56,-74.5296807612247,0.0010033380679511524,-6.661338147750939e-15
51,58,-74.52934100459046,0.0005767854180430719,-5.10702591327572e-14
52,57,-74.5298149432896,0.0005831839679154597,-5.6621374255882984e-14
54,59,-74.52946144476824,0.0008204332033385475,-2.4202861936828413e-14
53,58,-74.52939609710009,0.0005838213076991505,-5.684341886080802e-14
55,59,-74.52944198097563,0.00039570433383996997,-4.1744385725905886e-14
56,60,-74.53030637830118,0.0006548325032875923,-7.860379014346108e-14
57,60,-74.53044768329107,0.0006119927985332365,3.981370788608274e-12
58,61,-74.53022897784014,0.0006078851098339937,5.6460391917312336e-12
59,61,-74.5300956066532,0.0005608677950010882,-7.593925488436071e-14
60,61,-74.53033943497155,0.0007233745181774639,1.45461420686388e-12
