node1,node2,energy,entanglement,error
0,26,0.0,1.622390078249228e-10,0.0
1,24,0.0,1.751142954938784e-08,0.0
2,27,0.0,4.74323042885061e-11,0.0
3,26,0.0,2.2467555148140272e-10,0.0
4,28,0.0,8.708487666527629e-10,0.0
5,25,0.0,0.0014188120006466062,0.0
6,24,0.0,1.709967533789304e-08,0.0
7,27,0.0,1.753163671255254e-05,0.0
8,25,0.0,0.001418814956286129,0.0
9,29,0.0,4.2781285503069614e-05,0.0
10,28,0.0,6.700283651845214e-05,0.0
11,29,0.0,1.3025829446264869e-09,0.0
12,30,0.0,3.4692140777332304e-11,0.0
13,31,0.0,4.76922831347687e-07,0.0
14,30,0.0,7.71396553877796e-11,0.0
15,34,0.0,0.0005869342642426103,0.0
16,32,0.0,7.879114897204984e-05,0.0
17,35,0.0,3.180864472649457e-10,0.0
18,34,0.0,2.6323148190590907e-05,0.0
19,31,0.0,2.598553262219988e-11,0.0
20,33,0.0,5.427330780444554e-05,0.0
21,32,0.0,9.687824053472408e-10,0.0
22,35,0.0,7.241337410905208e-10,0.0
23,33,0.0,1.8158258080735295e-09,0.0
24,36,-330.05210661576103,3.353545702692036e-08,1.2212453270876722e-15
25,36,-330.05210661576035,2.0261047274823635e-07,-1.3322676295501878e-15
26,37,-330.1036353867545,3.3958381409841037e-10,-1.9984014443252818e-15
27,37,-330.103635386803,1.7531684058668375e-05,-2.886579864025407e-15
28,38,-330.1034846185225,6.700330884759211e-05,-6.439293542825908e-15
29,38,-330.10348461924985,4.278079765543854e-05,-4.218847493575595e-15
30,39,-330.05003142687707,6.226564476250313e-11,-8.881784197001252e-16
31,39,-330.05003142687826,4.769487861169974e-07,-1.7763568394002505e-15
32,40,-330.103966659926,7.879159886563776e-05,-9.103828801926284e-15
33,40,-330.1039666641122,5.4273266186096054e-05,-5.995204332975845e-15
34,41,-330.10408152495467,0.0005664846584109779,-9.325873406851315e-15
35,41,-330.1040815309553,1.0266942143342778e-09,-4.218847493575595e-15
37,42,-330.1041823279579,0.0025634770158875254,-9.547918011776346e-15
36,44,-330.10414747986306,3.6563557242989296e-05,-9.769962616701378e-15
38,42,-330.1041802751437,6.0343542655862975e-05,-4.6629367034256575e-15
39,44,-330.104147481468,1.9258375472761136e-05,-3.441691376337985e-14
41,43,-330.1042719762016,0.00792667960320553,-4.107825191113079e-14
40,43,-330.10427183914896,0.01139801931333584,-2.842170943040401e-14
42,45,-330.1043226119518,0.4399238777212906,-4.551914400963142e-14
43,45,-330.1043130408339,0.22478110644305027,-4.6851411639181606e-14
44,45,-330.10430849386836,0.1361492549526123,-1.354472090042691e-14
