node1,node2,energy,entanglement,error
0,32,0.0,0.008861360811565248,0.0
1,33,0.0,0.019449706196898234,0.0
2,32,0.0,0.025709262874512397,0.0
3,36,0.0,0.014991981147049546,0.0
4,34,0.0,0.022950556756590607,0.0
5,37,0.0,0.017457584517750896,0.0
6,36,0.0,0.029173745912398696,0.0
7,40,0.0,0.017509440245653273,0.0
8,33,0.0,0.01795918030778315,0.0
9,35,0.0,0.03259036758547561,0.0
10,34,0.0,0.014144739662212672,0.0
11,37,0.0,0.019570086544792278,0.0
12,35,0.0,0.017611845681380814,0.0
13,41,0.0,0.030092725278790436,0.0
14,40,0.0,0.027707155221878728,0.0
15,41,0.0,0.014271468459438719,0.0
16,38,0.0,0.015203496181545028,0.0
17,39,0.0,0.026917884450982445,0.0
18,38,0.0,0.029974086662472074,0.0
19,44,0.0,0.016406990312835813,0.0
20,42,0.0,0.024940646388577816,0.0
21,45,0.0,0.021804195128540427,0.0
22,44,0.0,0.033711114718124026,0.0
23,46,0.0,0.019795562620158563,0.0
24,39,0.0,0.014551964007588167,0.0
25,43,0.0,0.029580179480604346,0.0
26,42,0.0,0.016387706562881008,0.0
27,45,0.0,0.022343041484360032,0.0
28,43,0.0,0.01427835013100697,0.0
29,47,0.0,0.02596113499922602,0.0
30,46,0.0,0.01970478630314432,0.0
31,47,0.0,0.008889878626737843,0.0
32,48,-53.04451459178696,0.0194902156788759,-1.7763568394002505e-15
33,48,-53.044514591786985,0.03641114609592011,-5.773159728050814e-15
34,49,-53.0571364826659,0.035330756274898525,-4.440892098500626e-16
35,49,-53.05713648266594,0.02914316190233422,-8.881784197001252e-16
36,50,-53.0520312160776,0.026816256710096943,-3.3306690738754696e-15
37,50,-53.05203121607739,0.03562704752956714,4.440892098500626e-15
38,51,-53.07470736904011,0.0275119679554955,-7.549516567451064e-15
39,51,-53.07470736904013,0.040239219637508566,4.6629367034256575e-15
40,52,-53.05929213299821,0.04386577917134888,4.440892098500626e-16
41,52,-53.05929213299824,0.026586782125991325,-2.6645352591003757e-15
42,53,-53.06834409815602,0.04036026755496645,2.55351295663786e-15
43,53,-53.068344098156224,0.026152741820866403,6.106226635438361e-15
44,54,-53.11687896720086,0.028714762044697043,2.4424906541753444e-15
45,54,-53.11687896720076,0.04125501385709184,5.329070518200751e-15
46,55,-53.11301534207707,0.038509895165282915,-8.659739592076221e-15
47,55,-53.113015342077034,0.019738247232689306,-4.218847493575595e-15
48,56,-53.07909021204558,0.022762123100208805,-1.2301271112846734e-13
50,57,-53.09217962151486,0.04162351526689103,1.8598029782879166e-09
49,56,-53.07977937540477,0.04345620397452153,6.207173885997008e-09
51,58,-53.10373303467633,0.04006896215069695,1.6217834852838564e-09
52,57,-53.09679582206093,0.03992476412414942,1.09057607389218e-09
54,59,-53.133764858908975,0.048387573569271904,6.173641931006557e-09
53,58,-53.10206754327415,0.04021434682456646,1.3452858826923375e-09
55,59,-53.131968686173295,0.023148875210739772,-1.305622276959184e-13
56,60,-53.116594737795396,0.03125141002893027,6.799183438488399e-11
57,60,-53.12018946760749,0.042659654625461424,7.322837314305275e-08
58,61,-53.145998604286426,0.04189471541489008,1.0581793052910626e-07
59,61,-53.160208828972905,0.03422956997024385,1.047741893245302e-10
60,61,-53.17815128165985,0.04032165663926742,4.0330140560485006e-08
