0,None,(-10-0j)
1,0,(-10-0j)
None,1,(-10-0j)
2,None,(-10-0j)
3,2,(-10-0j)
0,3,(-10-0j)
4,None,(-10-0j)
2,4,(-10-0j)
5,1,(-10-0j)
6,5,(4.999999999999998-8.660254037844387j)
None,6,(-10-0j)
7,3,(-10-0j)
8,7,(-10-0j)
5,8,(-10-0j)
9,4,(-10-0j)
10,9,(-10-0j)
7,10,(-10-0j)
11,None,(4.999999999999998-8.660254037844387j)
9,11,(-10-0j)
12,6,(-10-0j)
None,12,(-10-0j)
13,8,(-10-0j)
14,13,(4.999999999999998-8.660254037844387j)
12,14,(-10-0j)
15,10,(-10-0j)
16,15,(-10-0j)
13,16,(-10-0j)
17,11,(-10-0j)
18,17,(-10-0j)
15,18,(-10-0j)
17,None,(4.999999999999998-8.660254037844387j)
19,14,(-10-0j)
None,19,(-10-0j)
20,16,(-10-0j)
21,20,(4.999999999999998-8.660254037844387j)
19,21,(-10-0j)
22,18,(-10-0j)
23,22,(-10-0j)
20,23,(-10-0j)
22,None,(4.999999999999998-8.660254037844387j)
None,21,(-10-0j)
None,23,(5.000000000000002+8.660254037844384j)
