node1,node2,energy,entanglement,error
0,32,0.0,6.208914577619033e-05,0.0
1,33,0.0,0.00011962305757750186,0.0
2,32,0.0,0.00017276173756732268,0.0
3,36,0.0,8.250023768150534e-05,0.0
4,34,0.0,0.00016328409331595463,0.0
5,37,0.0,0.00011871570161799694,0.0
6,36,0.0,0.00017433467726700382,0.0
7,40,0.0,0.00011865085265942481,0.0
8,33,0.0,0.00011956126854648238,0.0
9,35,0.0,0.00017620970178195067,0.0
10,34,0.0,0.00015307023938826282,0.0
11,37,0.0,0.0001747372617644074,0.0
12,35,0.0,0.0001764411473506675,0.0
13,41,0.0,0.00017444331433327857,0.0
14,40,0.0,0.0001559520049928925,0.0
15,41,0.0,0.00011943721459643774,0.0
16,38,0.0,8.251125843636413e-05,0.0
17,39,0.0,0.00015678335243840552,0.0
18,38,0.0,0.00017421745582950674,0.0
19,44,0.0,0.00010919700996062921,0.0
20,42,0.0,0.00014897260779452934,0.0
21,45,0.0,0.000156365856432186,0.0
22,44,0.0,0.0001756447698698196,0.0
23,46,0.0,0.00011902853394809868,0.0
24,39,0.0,0.00011871439996156361,0.0
25,43,0.0,0.00017441454116361553,0.0
26,42,0.0,0.00011802760724768486,0.0
27,45,0.0,0.0001463343168211684,0.0
28,43,0.0,0.0001195298530438694,0.0
29,47,0.0,0.0001727506547825282,0.0
30,46,0.0,0.00011900222865524174,0.0
31,47,0.0,6.208902003601825e-05,0.0
32,48,-85.10778866544767,0.00011960473478150866,-2.220446049250313e-15
33,48,-85.10778866544742,0.00023669688737923473,-1.5543122344752192e-15
34,49,-85.1077733689084,0.00031404497815324273,-2.220446049250313e-15
35,49,-85.10777336890841,0.00024283396116898893,-6.661338147750939e-16
36,50,-85.10742688873835,0.00014366707337041965,-1.3322676295501878e-15
37,50,-85.1074268887389,0.00029142574866081286,-1.9984014443252818e-15
38,51,-85.10713634264947,0.00014356107953816797,-1.9984014443252818e-15
39,51,-85.10713634264988,0.0002733357242911997,-2.6645352591003757e-15
40,52,-85.10744319172034,0.00027242345676027846,-3.552713678800501e-15
41,52,-85.10744319171968,0.000183278380945946,-3.1086244689504383e-15
42,53,-85.1070320921077,0.00026463002395706996,-2.220446049250313e-15
43,53,-85.1070320921075,0.00018334608498484805,-1.3322676295501878e-15
44,54,-85.10713288142728,0.00017251133776106207,-2.220446049250313e-15
45,54,-85.10713288142743,0.00030082822451970106,-4.440892098500626e-15
46,55,-85.10702023131208,0.00023552815240898448,6.661338147750939e-16
47,55,-85.10702023131182,0.00011959336234719015,-1.9984014443252818e-15
48,56,-85.10779325143123,0.00012615110041581045,4.8183679268731794e-14
50,57,-85.1074776223948,0.00020675941064064114,1.642708191695874e-11
49,56,-85.10779309827483,0.000360693342171541,7.014222536128045e-11
51,58,-85.10716802451665,0.00020670956156823757,1.643807312490253e-11
52,57,-85.10747569488828,0.00024651110638225087,3.3370639584973105e-11
54,59,-85.10716427041345,0.0002905724123473372,4.858480284752886e-11
53,58,-85.10711699620732,0.0002454414094538628,3.3198443993853743e-11
55,59,-85.10712276405455,0.00012568729207044742,5.0959236830294685e-14
56,60,-85.10780089121164,0.00024750700918177264,-3.552713678800501e-15
57,60,-85.10758508965422,0.0002538728464263755,1.6638446176386879e-10
58,61,-85.10730332153041,0.00021373333980763485,1.2152256978481546e-10
59,61,-85.10721018058774,0.00022274174476368094,-3.3306690738754696e-15
60,61,-85.10711317282204,0.00024188825242046796,7.847500427260456e-11
