node1,node2,energy,entanglement,error
0,32,0.0,0.000364482143939775,0.0
1,33,0.0,0.0007045076939778661,0.0
2,32,0.0,0.0010125077222179028,0.0
3,36,0.0,0.000438178338680039,0.0
4,34,0.0,0.0005627014657219394,0.0
5,37,0.0,0.0006949529978860848,0.0
6,36,0.0,0.001031532151806547,0.0
7,40,0.0,0.0006961861978200245,0.0
8,33,0.0,0.0007041147301315681,0.0
9,35,0.0,0.001044969454873646,0.0
10,34,0.0,0.0006276782838945491,0.0
11,37,0.0,0.0007750711497512313,0.0
12,35,0.0,0.0005215102247543368,0.0
13,41,0.0,0.0010353442267277862,0.0
14,40,0.0,0.0008673307948558393,0.0
15,41,0.0,0.0005427818755889009,0.0
16,38,0.0,0.0004368672697025213,0.0
17,39,0.0,0.0009625293682483168,0.0
18,38,0.0,0.0010344449590826295,0.0
19,44,0.0,0.000664076031002834,0.0
20,42,0.0,0.0009727620549046103,0.0
21,45,0.0,0.0008715509576851905,0.0
22,44,0.0,0.00105740202683007,0.0
23,46,0.0,0.0007090901347278112,0.0
24,39,0.0,0.0006672015987745202,0.0
25,43,0.0,0.0010386568242122937,0.0
26,42,0.0,0.0006956019983453085,0.0
27,45,0.0,0.0008469997799955154,0.0
28,43,0.0,0.0006215582247324964,0.0
29,47,0.0,0.0010127284653803793,0.0
30,46,0.0,0.000708523362074014,0.0
31,47,0.0,0.0003644884463488899,0.0
32,48,-69.4238010684663,0.0007114896494195207,1.4432899320127035e-15
33,48,-69.42380106846672,0.0013902330459954152,-4.884981308350689e-15
34,49,-69.42371167825787,0.00115560786964133,-2.220446049250313e-15
35,49,-69.42371167825786,0.0008898289468405153,-2.886579864025407e-15
36,50,-69.42367112134932,0.0008018298592329849,-1.3100631690576847e-14
37,50,-69.4236711213491,0.0014513804780746059,-1.4876988529977098e-14
38,51,-69.42497062304903,0.0008029359679129666,-6.8833827526759706e-15
39,51,-69.42497062304929,0.0016127221359995116,-1.2878587085651816e-14
40,52,-69.42408782905339,0.0015469139464372266,-3.774758283725532e-15
41,52,-69.42408782905298,0.0009210135995744558,-3.9968028886505635e-15
42,53,-69.42493043790064,0.001652483873663511,-9.992007221626409e-15
43,53,-69.4249304379006,0.001008132660184392,-6.661338147750939e-16
44,54,-69.42452549249083,0.001053814283627715,-6.439293542825908e-15
45,54,-69.42452549249063,0.0017025957827088458,-1.0658141036401503e-14
46,55,-69.42453004635841,0.001399408508361493,-7.771561172376096e-15
47,55,-69.42453004635837,0.0007117148164238551,-8.881784197001252e-16
48,56,-69.42437939489628,0.0007551850129038532,-3.3306690738754696e-14
50,57,-69.42457852319798,0.001173888173339858,2.426403522548526e-11
49,56,-69.4242358711503,0.0015044652357947828,7.680833746803728e-11
51,58,-69.42542378623838,0.0011699293938543325,2.5046409390938607e-11
52,57,-69.4246581560195,0.0013875811083806295,3.36016769963976e-11
54,59,-69.42478683258777,0.0017982816203696904,1.2984890940259675e-10
53,58,-69.42523663814104,0.0014085411659647325,3.0819347074384495e-11
55,59,-69.42493547888289,0.0007596082232346447,-4.063416270128073e-14
56,60,-69.42583170544434,0.0012696067115675305,-8.237854842718662e-14
57,60,-69.42567996137402,0.0014376114899496014,5.202126507342086e-10
58,61,-69.42558202275316,0.0012269879906817056,4.1306813525210373e-10
59,61,-69.42562228839944,0.0013012830887556826,-3.9745984281580604e-14
60,61,-69.42671589000065,0.0014649410476947572,2.21947793477284e-10
