node1,node2,energy,entanglement,error
0,32,0.0,0.0015643930133525036,0.0
1,33,0.0,0.003094767047847154,0.0
2,32,0.0,0.00438039014609549,0.0
3,36,0.0,0.002729259408295107,0.0
4,34,0.0,0.002693945616901687,0.0
5,37,0.0,0.0029835945786129007,0.0
6,36,0.0,0.0046290777113922425,0.0
7,40,0.0,0.0030139833848614253,0.0
8,33,0.0,0.003100258528211641,0.0
9,35,0.0,0.004696219393187389,0.0
10,34,0.0,0.0026686173981119716,0.0
11,37,0.0,0.0040086317542066706,0.0
12,35,0.0,0.00209484619059477,0.0
13,41,0.0,0.004610383480909495,0.0
14,40,0.0,0.003799565611503238,0.0
15,41,0.0,0.0024156394254974934,0.0
16,38,0.0,0.002716279652667327,0.0
17,39,0.0,0.0032644250652746174,0.0
18,38,0.0,0.004597405425224817,0.0
19,44,0.0,0.003013159659608015,0.0
20,42,0.0,0.0021511413097359887,0.0
21,45,0.0,0.003579264073561444,0.0
22,44,0.0,0.004750342973631872,0.0
23,46,0.0,0.0030570882271687533,0.0
24,39,0.0,0.002897505553864949,0.0
25,43,0.0,0.004530603202862571,0.0
26,42,0.0,0.003008094287715666,0.0
27,45,0.0,0.001974916141269431,0.0
28,43,0.0,0.0023019557184173747,0.0
29,47,0.0,0.004375508506148212,0.0
30,46,0.0,0.0030579532147737014,0.0
31,47,0.0,0.0015641021674519379,0.0
32,48,-59.96787511432218,0.0031513996689176,-1.7763568394002505e-15
33,48,-59.96787511432234,0.006091821947949803,-4.6629367034256575e-15
34,49,-59.96797691498388,0.005211964966772934,2.6645352591003757e-15
35,49,-59.967976914984256,0.0037305765254252005,5.551115123125783e-16
36,50,-59.96936504526779,0.004517957405775008,-1.7763568394002505e-15
37,50,-59.96936504526799,0.006893732806331191,7.771561172376096e-16
38,51,-59.9737686129955,0.004471692288807126,-1.5543122344752192e-15
39,51,-59.97376861299531,0.006051126703712089,-6.661338147750939e-16
40,52,-59.967951633018984,0.006713300174410326,-1.3322676295501878e-15
41,52,-59.96795163301892,0.0041734309200421905,1.1102230246251565e-16
42,53,-59.97345629050148,0.005025647553003362,-1.7763568394002505e-15
43,53,-59.97345629050173,0.003975879921596213,-6.661338147750939e-16
44,54,-59.97964469317279,0.004755239198401369,-1.1102230246251565e-15
45,54,-59.979644693172766,0.0053871046138828935,8.881784197001252e-16
46,55,-59.97629153915076,0.006010938302242711,-1.5543122344752192e-15
47,55,-59.97629153915073,0.0031464940698357415,-8.881784197001252e-16
48,56,-59.96971163223621,0.003356319959907611,6.8831607080710455e-12
50,57,-59.97454693730058,0.006161195682714071,3.3105760688378894e-08
49,56,-59.96990555381614,0.005769531135041907,3.20915218843254e-08
51,58,-59.98045373946061,0.0061473883303160524,3.296436734689934e-08
52,57,-59.9739552824188,0.005646963053588508,2.749787320066588e-08
54,59,-59.98195103555046,0.007760533431715932,5.401353919687324e-08
53,58,-59.98023606708223,0.005830763002777064,2.8005281649257086e-08
55,59,-59.980884210286916,0.0033473533968409086,2.7709723404711895e-11
56,60,-59.973124076162975,0.003999335378781465,1.2891465672737468e-11
57,60,-59.976463957821274,0.005952562741250264,1.696250977456515e-07
58,61,-59.98309401650948,0.006437698123580803,2.031012544811972e-07
59,61,-59.983741550327224,0.006082664290125648,4.3056780363315283e-11
60,61,-59.98391688611267,0.006683084698122804,1.0777903536318689e-07
