node1,node2,energy,entanglement,error
0,32,0.0,0.0003644801638360756,0.0
1,33,0.0,0.0007022762272156737,0.0
2,32,0.0,0.0010124384857972107,0.0
3,36,0.0,0.0004967167576643064,0.0
4,34,0.0,0.000516510214224586,0.0
5,37,0.0,0.0006772166858212303,0.0
6,36,0.0,0.001027871692736544,0.0
7,40,0.0,0.000664807494563631,0.0
8,33,0.0,0.0007033805292691132,0.0
9,35,0.0,0.0010467535327147,0.0
10,34,0.0,0.0006040985823575249,0.0
11,37,0.0,0.0005339344058410281,0.0
12,35,0.0,0.0007104677509010447,0.0
13,41,0.0,0.0010386136427789556,0.0
14,40,0.0,0.0009977773849234848,0.0
15,41,0.0,0.0006318323225441497,0.0
16,38,0.0,0.0004955194736627567,0.0
17,39,0.0,0.0006183446855058175,0.0
18,38,0.0,0.0010281797879225156,0.0
19,44,0.0,0.0007799973749174523,0.0
20,42,0.0,0.0008247790798028286,0.0
21,45,0.0,0.0008039731287770719,0.0
22,44,0.0,0.0010517603473567802,0.0
23,46,0.0,0.0007048161339336064,0.0
24,39,0.0,0.0005949994188438126,0.0
25,43,0.0,0.0010357911293712595,0.0
26,42,0.0,0.0006739937004573085,0.0
27,45,0.0,0.0004907617025639915,0.0
28,43,0.0,0.0006361250038379194,0.0
29,47,0.0,0.0010125305239981042,0.0
30,46,0.0,0.0007048062975351657,0.0
31,47,0.0,0.00036448278736293013,0.0
32,48,-69.42422047338106,0.0007114190298427894,-3.9968028886505635e-15
33,48,-69.42422047338158,0.0013872248030479654,-5.551115123125783e-15
34,49,-69.42438485045454,0.0011060516915209623,-7.105427357601002e-15
35,49,-69.42438485045464,0.0010909275020955199,-6.661338147750939e-15
36,50,-69.42385932668547,0.0008635536809683427,-2.220446049250313e-15
37,50,-69.42385932668553,0.0011868135332206398,-1.8207657603852567e-14
38,51,-69.42514018388074,0.0008624974660735633,-1.2878587085651816e-14
39,51,-69.42514018388064,0.0011847031342218013,-6.217248937900877e-15
40,52,-69.42437060744962,0.001647613909618016,-7.993605777301127e-15
41,52,-69.42437060744963,0.0010191515187700357,-1.3100631690576847e-14
42,53,-69.42507551136607,0.0014814799578903284,-1.887379141862766e-14
43,53,-69.4250755113662,0.0010209265748502062,-2.6645352591003757e-15
44,54,-69.42500979620712,0.0011688436866920241,-9.992007221626409e-15
45,54,-69.42500979620718,0.0012526648999208402,-9.325873406851315e-15
46,55,-69.42468107029414,0.001391259212800621,-7.327471962526033e-15
47,55,-69.42468107029426,0.0007115129167466062,-2.6645352591003757e-15
48,56,-69.42522723696712,0.0007570260252619558,-5.551115123125783e-14
50,57,-69.42506945919538,0.0012478800184489221,-3.1086244689504383e-15
49,56,-69.4251159968916,0.001799916375790105,1.3777867735598193e-13
51,58,-69.42578380645345,0.0012505398956678007,-3.419486915845482e-14
52,57,-69.42510876512173,0.0013986309576787754,-4.374278717023117e-14
54,59,-69.42552818401997,0.0018969354379733431,1.6509016376176078e-13
53,58,-69.42578675942099,0.001404110629491238,-3.9745984281580604e-14
55,59,-69.42552717628523,0.0007585846322661328,-6.505906924303417e-14
56,60,-69.42531698952249,0.0011784398030645967,-1.6919798895287386e-13
57,60,-69.42569737234545,0.001453576690084004,5.81756864903582e-11
58,61,-69.42612911434449,0.0013043486849141483,5.4762194778845696e-11
59,61,-69.42639422333775,0.0014198992651273535,-1.7275070263167436e-13
60,61,-69.42696863249435,0.0014504812452814245,3.117883728975812e-11
