1,6,24
5,8,25
0,3,26
2,7,27
4,10,28
9,11,29
12,14,30
13,19,31
16,21,32
20,23,33
15,18,34
17,22,35
24,25,37
26,27,36
28,29,38
30,31,39
32,33,41
34,35,40
36,38,42
41,40,43
39,37,44
42,43,44
