node1,node2,energy,entanglement,error
0,32,0.0,0.00886100248538576,0.0
1,33,0.0,0.01909031678457633,0.0
2,32,0.0,0.02572121056549754,0.0
3,36,0.0,0.016120388445197018,0.0
4,34,0.0,0.029806135277501738,0.0
5,37,0.0,0.017840370747310576,0.0
6,36,0.0,0.030088549346446412,0.0
7,40,0.0,0.017393457954564755,0.0
8,33,0.0,0.01917342428527331,0.0
9,35,0.0,0.03589483875850562,0.0
10,34,0.0,0.02862167819947815,0.0
11,37,0.0,0.02600075604413664,0.0
12,35,0.0,0.024992871826321292,0.0
13,41,0.0,0.029456254258991572,0.0
14,40,0.0,0.02352172433440201,0.0
15,41,0.0,0.013018667081000329,0.0
16,38,0.0,0.016916108164618405,0.0
17,39,0.0,0.02506304801699204,0.0
18,38,0.0,0.02983418460229175,0.0
19,44,0.0,0.018848737733729394,0.0
20,42,0.0,0.01640658970396313,0.0
21,45,0.0,0.01792969794903796,0.0
22,44,0.0,0.03279306941689104,0.0
23,46,0.0,0.018749752751822262,0.0
24,39,0.0,0.0174176986513076,0.0
25,43,0.0,0.02908805190388598,0.0
26,42,0.0,0.018029818259384277,0.0
27,45,0.0,0.02071565790688574,0.0
28,43,0.0,0.014838264592230537,0.0
29,47,0.0,0.025568788507847433,0.0
30,46,0.0,0.018351452642504873,0.0
31,47,0.0,0.00884289702807213,0.0
32,48,-53.109260820136555,0.019503733666168505,5.551115123125783e-16
33,48,-53.10926082013636,0.03728896041990799,-4.440892098500626e-15
34,49,-53.119990281550045,0.057133867951197806,-3.3306690738754696e-15
35,49,-53.119990281550166,0.03915745286236494,1.9984014443252818e-15
36,50,-53.10054192731978,0.02865467636723929,-3.9968028886505635e-15
37,50,-53.10054192731989,0.04260840494013456,1.2212453270876722e-15
38,51,-53.10453460471944,0.029379990485841244,4.9960036108132044e-15
39,51,-53.10453460471982,0.041292622269048174,2.220446049250313e-16
40,52,-53.096204221849035,0.039771839680801856,-1.1102230246251565e-15
41,52,-53.09620422184912,0.024858918776511883,-5.10702591327572e-15
42,53,-53.10758552333795,0.03307996145706847,-5.551115123125783e-15
43,53,-53.10758552333789,0.02642572369101912,-1.3322676295501878e-15
44,54,-53.124001672825216,0.030397089898369884,4.884981308350689e-15
45,54,-53.12400167282511,0.03750194364908039,-3.552713678800501e-15
46,55,-53.112182521787396,0.03610614578891303,-6.217248937900877e-15
47,55,-53.1121825217876,0.01935447345032251,-5.773159728050814e-15
48,56,-53.1211226548833,0.02218924367035352,4.002576048378614e-12
50,57,-53.128032294785065,0.04227919178653234,8.846622479019572e-08
49,56,-53.12283409152435,0.05413647273465426,1.3908847984467343e-07
51,58,-53.12915232505965,0.03678016834953516,6.878808800347969e-08
52,57,-53.12661434422233,0.03379740770334649,2.957536116010573e-08
54,59,-53.140446605580514,0.04880621157840239,1.7660740692093668e-07
53,58,-53.135982956518376,0.039081555516087545,4.1451148069526766e-08
55,59,-53.13762307903492,0.02226281953791924,3.536837489548361e-12
56,60,-53.15181908650309,0.04180719803392296,8.798625161787754e-10
57,60,-53.149610921276604,0.04014118170505352,9.114445569391449e-07
58,61,-53.16513975786038,0.041487179807306165,1.3577754731652902e-06
59,61,-53.16428207360835,0.03715165342366265,9.279976787013311e-10
60,61,-53.17230225992335,0.047100579208330814,9.251990399361532e-07
