0,None,(-1.0999999999999999-0j)
None,0,(-1.0999999999999999-0j)
1,None,(-1.0999999999999999-0j)
2,1,(-1.0999999999999999-0j)
0,2,(-1.0999999999999999-0j)
3,None,(-1.0999999999999999-0j)
4,3,(-1.0999999999999999-0j)
1,4,(-1.0999999999999999-0j)
5,None,(-1.0999999999999999-0j)
6,5,(-1.0999999999999999-0j)
3,6,(-1.0999999999999999-0j)
7,None,(-1.0999999999999999-0j)
5,7,(-1.0999999999999999-0j)
8,2,(-1.0999999999999999-0j)
None,8,(-1.0999999999999999-0j)
9,4,(-1.0999999999999999-0j)
10,9,(-1.0999999999999999-0j)
8,10,(-1.0999999999999999-0j)
11,6,(-1.0999999999999999-0j)
12,11,(-1.0999999999999999-0j)
9,12,(-1.0999999999999999-0j)
13,7,(-1.0999999999999999-0j)
14,13,(-1.0999999999999999-0j)
11,14,(-1.0999999999999999-0j)
15,None,(-1.0999999999999999-0j)
13,15,(-1.0999999999999999-0j)
16,10,(-1.0999999999999999-0j)
None,16,(-1.0999999999999999-0j)
17,12,(-1.0999999999999999-0j)
18,17,(-1.0999999999999999-0j)
16,18,(-1.0999999999999999-0j)
19,14,(-1.0999999999999999-0j)
20,19,(-1.0999999999999999-0j)
17,20,(-1.0999999999999999-0j)
21,15,(-1.0999999999999999-0j)
22,21,(-1.0999999999999999-0j)
19,22,(-1.0999999999999999-0j)
23,None,(-1.0999999999999999-0j)
21,23,(-1.0999999999999999-0j)
24,18,(-1.0999999999999999-0j)
None,24,(-1.0999999999999999-0j)
25,20,(-1.0999999999999999-0j)
26,25,(-1.0999999999999999-0j)
24,26,(-1.0999999999999999-0j)
27,22,(-1.0999999999999999-0j)
28,27,(-1.0999999999999999-0j)
25,28,(-1.0999999999999999-0j)
29,23,(-1.0999999999999999-0j)
30,29,(-1.0999999999999999-0j)
27,30,(-1.0999999999999999-0j)
31,None,(-1.0999999999999999-0j)
29,31,(-1.0999999999999999-0j)
None,26,(-1.0999999999999999-0j)
None,28,(-1.0999999999999999-0j)
None,30,(-1.0999999999999999-0j)
None,31,(-1.0999999999999999-0j)
