node1,node2,energy,entanglement,error
0,32,0.0,0.008854512569827767,0.0
1,33,0.0,0.01901884443666771,0.0
2,32,0.0,0.025660279120632182,0.0
3,36,0.0,0.017268069723622225,0.0
4,34,0.0,0.01901077371342695,0.0
5,37,0.0,0.017818903098361802,0.0
6,36,0.0,0.02932677469221381,0.0
7,40,0.0,0.017552822253477086,0.0
8,33,0.0,0.018805709138106357,0.0
9,35,0.0,0.03224477246884719,0.0
10,34,0.0,0.015322566287272878,0.0
11,37,0.0,0.01945750615810289,0.0
12,35,0.0,0.015931377335774703,0.0
13,41,0.0,0.03036307163516524,0.0
14,40,0.0,0.028939944235411602,0.0
15,41,0.0,0.015508936122064755,0.0
16,38,0.0,0.01672338622819091,0.0
17,39,0.0,0.02446979825856149,0.0
18,38,0.0,0.02979982003998675,0.0
19,44,0.0,0.017270010859379854,0.0
20,42,0.0,0.020146044069945253,0.0
21,45,0.0,0.022902063948190693,0.0
22,44,0.0,0.033547541452993664,0.0
23,46,0.0,0.01951689945655691,0.0
24,39,0.0,0.018264646294645557,0.0
25,43,0.0,0.029446673238387892,0.0
26,42,0.0,0.01829354355163785,0.0
27,45,0.0,0.020074518609623043,0.0
28,43,0.0,0.015740403748652713,0.0
29,47,0.0,0.025822302221309122,0.0
30,46,0.0,0.01911002508282529,0.0
31,47,0.0,0.008873350926366465,0.0
32,48,-53.110322006954306,0.019443322739052967,-4.440892098500626e-16
33,48,-53.11032200695436,0.03686853788120906,-1.2212453270876722e-14
34,49,-53.117227454454756,0.032417875845812,4.440892098500626e-16
35,49,-53.11722745445484,0.02681762939632308,-1.3322676295501878e-15
36,50,-53.09178902922838,0.029358611159057774,1.176836406102666e-14
37,50,-53.091789029228124,0.035977271264714936,2.55351295663786e-15
38,51,-53.08562046466207,0.029200164349776916,5.218048215738236e-15
39,51,-53.085620464661886,0.04159092152911905,-6.439293542825908e-15
40,52,-53.08759124920833,0.04524766709722032,1.2101430968414206e-14
41,52,-53.08759124920847,0.02824802846597785,-4.6629367034256575e-15
42,53,-53.08604429736715,0.037185734604760386,-4.440892098500626e-15
43,53,-53.08604429736713,0.027797525691190907,0.0
44,54,-53.09915196492902,0.029261721388486716,-7.105427357601002e-15
45,54,-53.099151964929135,0.04111612557664845,-8.881784197001252e-16
46,55,-53.09042065302453,0.03763235960203625,-5.551115123125783e-15
47,55,-53.09042065302476,0.0196023470718335,2.9976021664879227e-15
48,56,-53.142667768493595,0.02351117558135144,-4.551914400963142e-13
50,57,-53.125837203825846,0.04345865588681169,8.215872426831083e-12
49,56,-53.14267989308346,0.04828555103070243,4.612821236094078e-11
51,58,-53.11833194670868,0.042820225942103426,5.35504973697698e-12
52,57,-53.12538659801327,0.03921154968757776,7.36000149714755e-12
54,59,-53.116723197830716,0.045915438004012536,4.673272879784918e-11
53,58,-53.11852210008134,0.04212823623106733,8.969158749039252e-12
55,59,-53.116596856130634,0.02325733359585013,-4.334310688136611e-13
56,60,-53.17880957757761,0.04583636754496999,4.369160588879595e-11
57,60,-53.16686562255938,0.04436073919199633,2.8449577138545123e-09
58,61,-53.16905847444508,0.049075913234673585,2.3600095211406824e-09
59,61,-53.15732784674189,0.035423818265182136,1.7678525310316218e-11
60,61,-53.178861014583816,0.04691687478373758,2.7014176451345406e-09
